(56, 220, 19, 13)
(57, 220, 19, 13)
(60, 220, 19, 13)
(66, 220, 19, 13)
(72, 221, 19, 13)
(78, 222, 19, 13)
(82, 222, 19, 13)
(87, 222, 19, 13)
(91, 222, 19, 13)
(94, 222, 19, 13)
(98, 222, 19, 13)
(102, 222, 19, 13)
(106, 222, 19, 13)
(110, 222, 19, 13)
(114, 222, 19, 13)
(117, 222, 19, 13)
(123, 222, 19, 13)
(127, 222, 19, 13)
(132, 222, 19, 13)
(136, 222, 19, 13)
(140, 222, 19, 13)
(143, 222, 19, 13)
(148, 222, 19, 13)
(151, 222, 19, 13)
(154, 222, 19, 13)
(156, 222, 19, 13)
(161, 222, 19, 13)
(165, 222, 19, 13)
(169, 222, 19, 13)
(172, 222, 19, 13)
(175, 222, 19, 13)
(176, 222, 19, 13)
(177, 222, 19, 13)
(181, 222, 19, 13)
(183, 222, 19, 13)
(185, 222, 19, 13)
(187, 221, 19, 13)
(190, 221, 19, 13)
(192, 221, 19, 13)
(195, 220, 19, 13)
(196, 220, 19, 13)
(197, 220, 19, 13)
(198, 219, 19, 13)
(199, 219, 19, 13)
(200, 219, 19, 13)
(201, 218, 19, 13)
(202, 218, 19, 13)
(203, 217, 19, 13)
(204, 216, 19, 13)
(206, 216, 19, 13)
(207, 215, 19, 13)
(208, 214, 19, 13)
(209, 213, 19, 13)
(210, 211, 19, 13)
(212, 209, 19, 13)
(213, 207, 19, 13)
(216, 203, 19, 13)
(218, 201, 19, 13)
(218, 200, 19, 13)
(218, 198, 19, 13)
(219, 196, 19, 13)
(219, 194, 19, 13)
(220, 192, 19, 13)
(220, 190, 19, 13)
(218, 187, 19, 13)
(217, 185, 19, 13)
(216, 185, 19, 13)
(215, 184, 19, 13)
(214, 183, 19, 13)
(211, 182, 19, 13)
(209, 181, 19, 13)
(207, 180, 19, 13)
(206, 179, 19, 13)
(205, 179, 19, 13)
(204, 178, 19, 13)
(202, 178, 19, 13)
(201, 177, 19, 13)
(199, 177, 19, 13)
(197, 176, 19, 13)
(196, 175, 19, 13)
(195, 175, 19, 13)
(193, 174, 19, 13)
(192, 174, 19, 13)
(190, 173, 19, 13)
(188, 172, 19, 13)
(187, 172, 19, 13)
(186, 171, 19, 13)
(185, 171, 19, 13)
(184, 170, 19, 13)
(182, 170, 19, 13)
(180, 169, 19, 13)
(179, 168, 19, 13)
(177, 168, 19, 13)
(176, 167, 19, 13)
(174, 166, 19, 13)
(173, 166, 19, 13)
(172, 165, 19, 13)
(171, 164, 19, 13)
(168, 163, 19, 13)
(167, 162, 19, 13)
(166, 162, 19, 13)
(165, 161, 19, 13)
(164, 160, 19, 13)
(163, 159, 19, 13)
(163, 158, 19, 13)
(162, 158, 19, 13)
(161, 158, 19, 13)
(160, 157, 19, 13)
(159, 157, 19, 13)
(157, 156, 19, 13)
(156, 155, 19, 13)
(155, 155, 19, 13)
(153, 154, 19, 13)
(152, 154, 19, 13)
(150, 153, 19, 13)
(148, 152, 19, 13)
(146, 150, 19, 13)
(145, 149, 19, 13)
(143, 148, 19, 13)
(142, 146, 19, 13)
(140, 144, 19, 13)
(139, 142, 19, 13)
(138, 140, 19, 13)
(137, 138, 19, 13)
(135, 135, 19, 13)
(135, 134, 19, 13)
(135, 132, 19, 13)
(135, 131, 19, 13)
(135, 129, 19, 13)
(135, 128, 19, 13)
(136, 127, 19, 13)
(137, 126, 19, 13)
(139, 124, 19, 13)
(140, 123, 19, 13)
(141, 122, 19, 13)
(142, 121, 19, 13)
(143, 119, 19, 13)
(144, 119, 19, 13)
(145, 117, 19, 13)
(147, 116, 19, 13)
(148, 115, 19, 13)
(149, 114, 19, 13)
(150, 114, 19, 13)
